Date,Country,Local,Industry Sector,Accident Level,Potential Accident Level,Gender,Employee or 3d Party,Critical Risk
4/24/2017 0:00,Country_01,Local_03,Mining,I,V,Male,Employee,Others
4/28/2017 0:00,Country_02,Local_05,Metals,I,II,Male,Employee,Others
4/29/2017 0:00,Country_02,Local_02,Mining,II,III,Male,Employee,Manual Tools
4/30/2017 0:00,Country_02,Local_05,Metals,I,II,Male,Employee,Others
5/5/2017 0:00,Country_02,Local_02,Mining,I,II,Male,Third Party (Remote),Others
5/6/2017 0:00,Country_01,Local_01,Mining,III,IV,Male,Third Party,Manual Tools
5/6/2017 0:00,Country_02,Local_07,Mining,IV,V,Male,Employee,Projection
5/6/2017 0:00,Country_02,Local_07,Mining,II,V,Male,Employee,Projection
5/10/2017 0:00,Country_01,Local_04,Mining,V,V,Male,Third Party,Fall
5/16/2017 0:00,Country_02,Local_05,Metals,I,III,Female,Third Party (Remote),Cut
5/16/2017 0:00,Country_01,Local_03,Mining,IV,IV,Male,Employee,Others
5/16/2017 0:00,Country_02,Local_12,Others,I,I,Male,Employee,Others
5/17/2017 0:00,Country_02,Local_07,Mining,I,I,Male,Employee,Cut
5/18/2017 0:00,Country_01,Local_06,Metals,IV,IV,Male,Third Party,Pressed
5/19/2017 0:00,Country_01,Local_06,Metals,I,II,Male,Employee,Projection
5/23/2017 0:00,Country_01,Local_04,Mining,I,IV,Male,Third Party,Projection of fragments
5/23/2017 0:00,Country_01,Local_04,Mining,I,IV,Male,Third Party,Projection of fragments
5/23/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
5/30/2017 0:00,Country_02,Local_12,Others,I,II,Female,Employee,Others
6/4/2017 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Others
6/9/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Projection
6/9/2017 0:00,Country_01,Local_06,Metals,I,III,Male,Third Party,Fall
6/11/2017 0:00,Country_01,Local_04,Mining,I,II,Male,Third Party,Others
6/11/2017 0:00,Country_01,Local_04,Mining,I,II,Male,Employee,Pressed
6/11/2017 0:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Cut
6/11/2017 0:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
6/14/2017 0:00,Country_02,Local_02,Mining,III,IV,Male,Third Party (Remote),Pressed
6/15/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Projection
